County,Month,Year,Application Status,Number of Applications
Sonoma,2,2012,Total applications/restorations on hand,407
Sonoma,2,2013,Applications denied,96
Sonoma,2,2013,Applications/requests for restoration received,225
Sonoma,2,2013,Applications/restorations approved,117
Sonoma,2,2013,Total applications/restorations on hand,266
Sonoma,2,2014,Applications denied,109
Sonoma,2,2014,Applications/requests for restoration received,272
Sonoma,2,2014,Applications/restorations approved,120
Sonoma,2,2014,Total applications/restorations on hand,356
Sonoma,2,2015,Applications denied,79
Sonoma,2,2015,Applications/requests for restoration received,192
Sonoma,2,2015,Applications/restorations approved,89
Sonoma,2,2015,Total applications/restorations on hand,258
Sonoma,3,2010,Applications denied,139
Sonoma,3,2010,Applications/requests for restoration received,408
Sonoma,3,2010,Applications/restorations approved,225
Sonoma,3,2010,Total applications/restorations on hand,517
Sonoma,3,2011,Applications denied,95
Sonoma,3,2011,Applications/requests for restoration received,361
Sonoma,3,2011,Applications/restorations approved,197
Sonoma,3,2011,Total applications/restorations on hand,425
Sonoma,3,2012,Applications denied,106
Sonoma,3,2012,Applications/requests for restoration received,351
Sonoma,3,2012,Applications/restorations approved,175
Sonoma,3,2012,Total applications/restorations on hand,424
Sonoma,3,2013,Applications denied,96
Sonoma,3,2013,Applications/requests for restoration received,288
Sonoma,3,2013,Applications/restorations approved,141
Sonoma,3,2013,Total applications/restorations on hand,312
Sonoma,3,2014,Applications denied,108
Sonoma,3,2014,Applications/requests for restoration received,241
Sonoma,3,2014,Applications/restorations approved,114
Sonoma,3,2014,Total applications/restorations on hand,338
Sonoma,3,2015,Applications denied,86
Sonoma,3,2015,Applications/requests for restoration received,247
Sonoma,3,2015,Applications/restorations approved,100
Sonoma,3,2015,Total applications/restorations on hand,302
Sonoma,4,2010,Applications denied,114
Sonoma,4,2010,Applications/requests for restoration received,385
Sonoma,4,2010,Applications/restorations approved,211
Sonoma,4,2010,Total applications/restorations on hand,474
Sonoma,4,2011,Applications denied,107
Sonoma,4,2011,Applications/requests for restoration received,355
Sonoma,4,2011,Applications/restorations approved,182
Sonoma,4,2011,Total applications/restorations on hand,442
Sonoma,4,2012,Applications denied,129
Sonoma,4,2012,Applications/requests for restoration received,359
Sonoma,4,2012,Applications/restorations approved,166
Sonoma,4,2012,Total applications/restorations on hand,441
Sonoma,4,2013,Applications denied,112
Sonoma,4,2013,Applications/requests for restoration received,306
Sonoma,4,2013,Applications/restorations approved,133
Sonoma,4,2013,Total applications/restorations on hand,348
Sonoma,4,2014,Applications denied,102
Sonoma,4,2014,Applications/requests for restoration received,243
Sonoma,4,2014,Applications/restorations approved,127
Sonoma,4,2014,Total applications/restorations on hand,311
Sonoma,4,2015,Applications denied,75
Sonoma,4,2015,Applications/requests for restoration received,235
Sonoma,4,2015,Applications/restorations approved,128
Sonoma,4,2015,Total applications/restorations on hand,292
Sonoma,5,2010,Applications denied,98
Sonoma,5,2010,Applications/requests for restoration received,353
Sonoma,5,2010,Applications/restorations approved,203
Sonoma,5,2010,Total applications/restorations on hand,447
Sonoma,5,2011,Applications denied,132
Sonoma,5,2011,Applications/requests for restoration received,366
Sonoma,5,2011,Applications/restorations approved,195
Sonoma,5,2011,Total applications/restorations on hand,473
Sonoma,5,2012,Applications denied,128
Sonoma,5,2012,Applications/requests for restoration received,334
Sonoma,5,2012,Applications/restorations approved,176
Sonoma,5,2012,Total applications/restorations on hand,433
Sonoma,5,2013,Applications denied,104
Sonoma,5,2013,Applications/requests for restoration received,243
Sonoma,5,2013,Applications/restorations approved,116
Sonoma,5,2013,Total applications/restorations on hand,303
Sonoma,5,2014,Applications denied,88
Sonoma,5,2014,Applications/requests for restoration received,261
Sonoma,5,2014,Applications/restorations approved,133
Sonoma,5,2014,Total applications/restorations on hand,308
Sonoma,5,2015,Applications denied,80
Sonoma,5,2015,Applications/requests for restoration received,197
Sonoma,5,2015,Applications/restorations approved,74
Sonoma,5,2015,Total applications/restorations on hand,197
Sonoma,6,2010,Applications denied,124
Sonoma,6,2010,Applications/requests for restoration received,378
Sonoma,6,2010,Applications/restorations approved,204
Sonoma,6,2010,Total applications/restorations on hand,491
Sonoma,6,2011,Applications denied,158
Sonoma,6,2011,Applications/requests for restoration received,391
Sonoma,6,2011,Applications/restorations approved,149
Sonoma,6,2011,Total applications/restorations on hand,467
Sonoma,6,2012,Applications denied,116
Sonoma,6,2012,Applications/requests for restoration received,322
Sonoma,6,2012,Applications/restorations approved,159
Sonoma,6,2012,Total applications/restorations on hand,389
Sonoma,6,2013,Applications denied,66
Sonoma,6,2013,Applications/requests for restoration received,248
Sonoma,6,2013,Applications/restorations approved,123
Sonoma,6,2013,Total applications/restorations on hand,282
Sonoma,6,2014,Applications denied,76
Sonoma,6,2014,Applications/requests for restoration received,228
Sonoma,6,2014,Applications/restorations approved,103
Sonoma,6,2014,Total applications/restorations on hand,269
Sonoma,6,2015,Applications denied,80
Sonoma,6,2015,Applications/requests for restoration received,217
Sonoma,6,2015,Applications/restorations approved,115
Sonoma,6,2015,Total applications/restorations on hand,263
Sonoma,7,2010,Applications denied,118
Sonoma,7,2010,Applications/requests for restoration received,461
Sonoma,7,2010,Applications/restorations approved,226
Sonoma,7,2010,Total applications/restorations on hand,578
Sonoma,7,2011,Applications denied,146
Sonoma,7,2011,Applications/requests for restoration received,390
Sonoma,7,2011,Applications/restorations approved,150
Sonoma,7,2011,Total applications/restorations on hand,474
Sonoma,7,2012,Applications denied,112
Sonoma,7,2012,Applications/requests for restoration received,354
Sonoma,7,2012,Applications/restorations approved,151
Sonoma,7,2012,Total applications/restorations on hand,421
Sonoma,7,2013,Applications denied,105
Sonoma,7,2013,Applications/requests for restoration received,304
Sonoma,7,2013,Applications/restorations approved,122
Sonoma,7,2013,Total applications/restorations on hand,336
Sonoma,7,2014,Applications denied,85
Sonoma,7,2014,Applications/requests for restoration received,272
Sonoma,7,2014,Applications/restorations approved,146
Sonoma,7,2014,Total applications/restorations on hand,327
Sonoma,7,2015,Applications denied,72
Sonoma,7,2015,Applications/requests for restoration received,252
Sonoma,7,2015,Applications/restorations approved,125
Sonoma,7,2015,Total applications/restorations on hand,286
Sonoma,8,2010,Applications denied,165
Sonoma,8,2010,Applications/requests for restoration received,410
Sonoma,8,2010,Applications/restorations approved,239
Sonoma,8,2010,Total applications/restorations on hand,584
Sonoma,8,2011,Applications denied,190
Sonoma,8,2011,Applications/requests for restoration received,494
Sonoma,8,2011,Applications/restorations approved,213
Sonoma,8,2011,Total applications/restorations on hand,618
Sonoma,8,2012,Applications denied,142
Sonoma,8,2012,Applications/requests for restoration received,396
Sonoma,8,2012,Applications/restorations approved,194
Sonoma,8,2012,Total applications/restorations on hand,471
Sonoma,8,2013,Applications denied,115
Sonoma,8,2013,Applications/requests for restoration received,335
Sonoma,8,2013,Applications/restorations approved,141
Sonoma,8,2013,Total applications/restorations on hand,391
Sonoma,8,2014,Applications denied,78
Sonoma,8,2014,Applications/requests for restoration received,255
Sonoma,8,2014,Applications/restorations approved,132
Sonoma,8,2014,Total applications/restorations on hand,304
Sonoma,8,2015,Applications denied,84
Sonoma,8,2015,Applications/requests for restoration received,218
Sonoma,8,2015,Applications/restorations approved,105
Sonoma,8,2015,Total applications/restorations on hand,272
Sonoma,9,2010,Applications denied,105
Sonoma,9,2010,Applications/requests for restoration received,378
Sonoma,9,2010,Applications/restorations approved,229
Sonoma,9,2010,Total applications/restorations on hand,516
Sonoma,9,2011,Applications denied,163
Sonoma,9,2011,Applications/requests for restoration received,392
Sonoma,9,2011,Applications/restorations approved,203
Sonoma,9,2011,Total applications/restorations on hand,550
Sonoma,9,2012,Applications denied,110
Sonoma,9,2012,Applications/requests for restoration received,318
Sonoma,9,2012,Applications/restorations approved,144
Sonoma,9,2012,Total applications/restorations on hand,366
Sonoma,9,2013,Applications denied,113
Sonoma,9,2013,Applications/requests for restoration received,262
Sonoma,9,2013,Applications/restorations approved,116
Sonoma,9,2013,Total applications/restorations on hand,344
Sonoma,9,2014,Applications denied,65
Sonoma,9,2014,Applications/requests for restoration received,227
Sonoma,9,2014,Applications/restorations approved,134
Sonoma,9,2014,Total applications/restorations on hand,283
Sonoma,9,2015,Applications denied,78
Sonoma,9,2015,Applications/requests for restoration received,230
Sonoma,9,2015,Applications/restorations approved,91
Sonoma,9,2015,Total applications/restorations on hand,275
Stanislaus,1,2010,Applications denied,719
Stanislaus,1,2010,Applications/requests for restoration received,1142
Stanislaus,1,2010,Applications/restorations approved,369
Stanislaus,1,2010,Total applications/restorations on hand,1786
Stanislaus,1,2011,Applications denied,650
Stanislaus,1,2011,Applications/requests for restoration received,1433
Stanislaus,1,2011,Applications/restorations approved,460
Stanislaus,1,2011,Total applications/restorations on hand,1932
Stanislaus,1,2012,Applications denied,703
Stanislaus,1,2012,Applications/requests for restoration received,1436
Stanislaus,1,2012,Applications/restorations approved,455
Stanislaus,1,2012,Total applications/restorations on hand,2007
Stanislaus,1,2013,Applications denied,683
Stanislaus,1,2013,Applications/requests for restoration received,1602
Stanislaus,1,2013,Applications/restorations approved,507
